Time [s];RF Mag [N];Sigma [MPa];RM2 [Nm];Tau [MPa];Actual angle [deg];Extension [-];Paper extension [-];Paper Sigma [MPa];Paper angle [deg];Paper Tau [MPa]
0;0;0;0;0;0;0;0;0;0;0
0.0001;202.601;1.39922212;-1.79686;0.559087244;0.000831877;1.9436E-05;0.004191344;2.35E+02;0.228050171;100.7636772
0.0002;405.203;2.798451146;-3.59369;1.118165154;0.001663749;3.8872E-05;0.004738041;2.44E+02;2.74E-01;104.6053805
0.0003;607.805;4.197680173;-5.39049;1.67723373;0.002495627;5.8308E-05;0.005284738;2.50E+02;5.02E-01;107.2664725
0.0004;810.407;5.596909199;-7.18726;2.236292971;0.003327504;7.77438E-05;0.006013667;2.55E+02;7.75E-01;109.6324119
0.0005;1013.01;6.996145132;-8.98399;2.795339766;0.004159381;9.718E-05;0.006742597;2.58E+02;1.19E+00;111.999362
0.0006;1215.61;8.395360346;-10.7807;3.354380338;0.004991259;0.000116616;0.007562642;2.59E+02;1.60E+00;113.7753326
0.0007;1418.22;9.794644622;-12.5774;3.913417799;0.005823142;0.000136052;0.009384966;2.63E+02;1.96E+00;114.959987
0.0008;1620.82;11.19385984;-14.374;4.472424145;0.006655019;0.000155488;0.010751708;2.64E+02;2.37E+00;115.8494885
0.0009;1823.43;12.59314411;-16.1706;5.031430491;0.007486897;0.000174924;0.012209567;2.66E+02;2.83E+00;115.5573681
0.001;2026.04;13.99242839;-17.9672;5.590436837;0.008318774;0.00019436;0.013485194;2.68E+02;3.38E+00;114.9704319
0.0011;2228.64;15.3916436;-19.7637;6.149412069;0.009150652;0.000213795;0.015307517;2.70E+02;3.69E+00;112.313383
0.0012;2431.25;16.79092788;-21.5603;6.708418415;0.009982529;0.000233232;0.017494305;2.71E+02;3.92E+00;109.3601705
0.0013;2633.86;18.19021216;-23.3567;7.267362532;0.010814406;0.000252668;0.019407745;2.73E+02;4.06E+00;105.8153047
0.0014;2836.46;19.58942737;-25.1532;7.826337763;0.011646284;0.000272104;0.021321185;2.74E+02;4.20E+00;101.9749492
0.0015;3039.07;20.98871165;-26.9496;8.38528188;0.012478161;0.000291539;0.02405467;2.77E+02;;
0.0016;3241.68;22.38799592;-28.746;8.944225997;0.013310039;0.000310975;0.025694761;2.77E+02;;
0.0017;3444.29;23.7872802;-30.5423;9.503138999;0.014141916;0.000330411;0.02715262;2.78E+02;;
0.0018;3646.9;25.18656448;-32.3387;10.06208312;0.014973794;0.000349848;2.89E-02;2.79E+02;;
0.0019;3849.51;26.58584875;-34.135;10.62099612;0.015805671;0.000369284;3.08E-02;2.80E+02;;
0.002;4052.12;27.98513303;-35.9312;11.17987801;0.016637548;0.000388719;3.26E-02;2.80E+02;;
0.0021;4254.74;29.38448637;-37.7275;11.73879101;0.017469426;0.000408155;3.44E-02;2.82E+02;;
0.0022;4457.35;30.78377065;-39.5237;12.29767289;0.018301361;0.000427591;3.64E-02;2.82E+02;;
0.0023;4659.96;32.18305492;-41.3198;12.85652367;0.019133238;0.000447028;3.94E-02;2.83E+02;;
0.0024;4862.58;33.58240826;-43.116;13.41540555;0.019965115;0.000466464;4.06E-02;2.83E+02;;
0.0025;5065.19;34.98169254;-44.9121;13.97425633;0.020796993;0.0004859;0.042095672;2.84E+02;;
0.0026;5267.8;36.38097682;-46.7081;14.53307599;0.02162887;0.000505336;0.043735763;2.83E+02;;
0.0027;5470.42;37.78033016;-48.5042;15.09192676;0.022460748;0.000524772;0.045284738;2.83E+02;;
0.0028;5673.04;39.1796835;-50.3002;15.65074642;0.023292625;0.000544208;0.047744875;2.84E+02;;
0.0029;5875.65;40.57896777;-52.0962;16.20956607;0.024124503;0.000563644;0.051025057;2.83E+02;;
0.003;6078.27;41.97832111;-53.8921;16.76835462;0.02495638;0.00058308;0.054669704;2.83E+02;;
0.0031;6280.89;43.37767445;-55.688;17.32714316;0.025788315;0.000602517;0.057403189;2.83E+02;;
0.0032;6483.5;44.77695873;-57.4839;17.8859317;0.026620192;0.000621953;0.060683371;2.80E+02;;
0.0033;6686.12;46.17631207;-59.2797;18.44468913;0.02745207;0.000641389;0.062687927;2.78E+02;;
0.0034;6888.74;47.57566541;-61.0756;19.00347768;0.028283947;0.000660827;0.06523918;2.75E+02;;
0.0035;7091.36;48.97501875;-62.8713;19.56220399;0.029115824;0.000680264;0.066879271;2.72E+02;;
0.0036;7293.98;50.37437209;-64.6671;20.12096142;0.029947702;0.000699695;0.069066059;2.66E+02;;
0.0037;7496.6;51.77372543;-66.4628;20.67968773;0.030779579;0.000719133;0.070888383;2.61E+02;;
0.0038;7699.22;53.17307877;-68.2585;21.23841405;0.031611514;0.00073857;0.072528474;2.55E+02;;
0.0039;7901.84;54.57243211;-70.0542;21.79714036;0.032443391;0.000758007;0.073621868;2.50E+02;;
0.004;8104.47;55.97185451;-71.8498;22.35583556;0.033275269;0.000777445;;;;
0.0041;8307.09;57.37120785;-73.6454;22.91453076;0.034107146;0.000796882;;;;
0.0042;8509.71;58.77056119;-75.441;23.47322596;0.034939024;0.000816313;;;;
0.0043;8712.33;60.16991453;-77.2365;24.03189004;0.035770901;0.000835751;;;;
0.0044;8914.96;61.56933693;-79.032;24.59055413;0.036602836;0.000855188;;;;
0.0045;9117.58;62.96869027;-80.8275;25.14921821;0.037434713;0.000874625;;;;
0.0046;9320.21;64.36811267;-82.6229;25.70785118;0.038266591;0.000894063;;;;
0.0047;9522.83;65.76746601;-84.4183;26.26648415;0.039098468;0.0009135;;;;
0.0048;9725.46;67.16688842;-86.2137;26.82511712;0.039930345;0.000932938;;;;
0.0049;9928.09;68.56631082;-88.0091;27.38375009;0.04076228;0.000952375;;;;
0.005;10130.7;69.96559509;-89.8044;27.94235195;0.041594158;0.000971812;;;;
0.0051;10333.3;71.36481031;-91.5997;28.5009538;0.042426035;0.000991243;;;;
0.0052;10536;72.76471615;-93.3949;29.05952454;0.043257912;0.001010681;;;;
0.0053;10738.6;74.16393137;-95.1901;29.61809528;0.044089847;0.001030118;;;;
0.0054;10941.2;75.56314658;-96.9853;30.17666603;0.044921725;0.001049555;;;;
0.0055;11143.9;76.96305242;-98.7805;30.73523677;0.045753602;0.001068993;;;;
0.0056;11346.5;78.36226764;-100.576;31.29390085;0.046585479;0.00108843;;;;
0.0057;11549.1;79.76148285;-102.371;31.85240936;0.047417414;0.001107868;;;;
0.0058;11751.8;81.16138869;-104.166;32.41091787;0.048249292;0.001127305;;;;
0.0059;11954.4;82.56060391;-105.961;32.96942638;0.049081169;0.001146742;;;;
0.006;12157;83.95981912;-107.756;33.5279349;0.049913104;0.00116618;;;;
0.0061;12359.6;85.35903433;-109.551;34.08644341;0.050744981;0.001185617;;;;
0.0062;12562.3;86.75894018;-111.346;34.64495192;0.051576859;0.001205055;;;;
0.0063;12764.9;88.15815539;-113.141;35.20346043;0.052408736;0.001224492;;;;
0.0064;12967.6;89.55806123;-114.935;35.76165779;0.053240671;0.001243929;;;;
0.0065;13170.2;90.95727645;-116.73;36.32016631;0.054072548;0.001263367;;;;
0.0066;13372.8;92.35649166;-118.525;36.87867482;0.054904426;0.001282804;;;;
0.0067;13575.5;93.75639751;-120.32;37.43718333;0.05573636;0.001302242;;;;
0.0068;13778.1;95.15561272;-122.115;37.99569184;0.056568238;0.001321679;;;;
0.0069;13980.7;96.55482793;-123.909;38.5538892;0.057400058;0.001341116;;;;
0.007;14183.4;97.95473378;-125.704;39.11239771;0.058231993;0.001360554;;;;
0.0071;14386;99.35394899;-127.499;39.67090623;0.059063927;0.001379991;;;;
0.0072;14588.6;100.7531642;-129.293;40.22910359;0.059895862;0.001399428;;;;
0.0073;14791.3;102.15307;-131.088;40.7876121;0.060727797;0.001418866;;;;
0.0074;14993.9;103.5522853;-132.882;41.34580947;0.061559731;0.00143831;;;;
0.0075;15196.6;104.9521911;-134.677;41.90431798;0.062391666;0.001457747;;;;
0.0076;15399.2;106.3514063;-136.471;42.46251534;0.063223601;0.001477184;;;;
0.0077;15601.9;107.7513122;-138.266;43.02102385;0.064055536;0.001496622;;;;
0.0078;15804.5;109.1505274;-140.06;43.57922122;0.06488747;0.001516059;;;;
0.0079;16007.1;110.5497426;-141.855;44.13772973;0.065718832;0.001535497;;;;
0.008;16209.8;111.9496484;-143.649;44.69592709;0.066550767;0.001554934;;;;
0.0081;16412.4;113.3488636;-145.444;45.2544356;0.067382701;0.001574371;;;;
0.0082;16615.1;114.7487695;-147.238;45.81263297;0.068214636;0.001593815;;;;
0.0083;16817.7;116.1479847;-149.032;46.37083033;0.069046571;0.001613252;;;;
0.0084;17020.4;117.5478905;-150.826;46.9290277;0.069878506;0.00163269;;;;
0.0085;17223;118.9471058;-152.621;47.48753621;0.07071044;0.001652127;;;;
0.0086;17425.6;120.346321;-154.415;48.04573357;0.071542375;0.001671565;;;;
0.0087;17628.3;121.7462268;-156.209;48.60393094;0.07237431;0.001691008;;;;
0.0088;17830.9;123.145442;-158.003;49.1621283;0.073206245;0.001710446;;;;
0.0089;18033.6;124.5453479;-159.797;49.72032567;0.074038179;0.001729883;;;;
0.009;18236.2;125.9445631;-161.591;50.27852303;0.074870114;0.001749327;;;;
0.0091;18438.9;127.3444689;-163.385;50.8367204;0.075702049;0.001768764;;;;
0.0092;18641.5;128.7436841;-165.179;51.39491776;0.076533983;0.001788202;;;;
0.0093;18844.2;130.14359;-166.973;51.95311512;0.077365918;0.001807639;;;;
0.0094;19046.8;131.5428052;-168.767;52.51131249;0.078197853;0.001827083;;;;
0.0095;19249.5;132.942711;-170.561;53.06950985;0.079029788;0.00184652;;;;
0.0096;19452.1;134.3419263;-172.355;53.62770722;0.079861722;0.001865958;;;;
0.0097;19654.8;135.7418321;-174.149;54.18590458;0.080693084;0.001885401;;;;
0.0098;19857.4;137.1410473;-175.942;54.7437908;0.081525019;0.001904839;;;;
0.0099;20060.1;138.5409532;-177.736;55.30198816;0.082356953;0.001924282;;;;
0.01;20262.7;139.9401684;-179.53;55.86018553;0.083188888;0.00194372;;;;
0.0101;20465.4;141.3400742;-181.324;56.41838289;0.084020823;0.001963157;;;;
0.0102;20668.1;142.7399801;-183.117;56.97626911;0.084852758;0.001982601;;;;
0.0103;20870.7;144.1391953;-184.911;57.53446648;0.085684692;0.002002038;;;;
0.0104;21073.4;145.5391011;-186.705;58.09266384;0.086516627;0.002021482;;;;
0.0105;21276;146.9383163;-188.498;58.65055006;0.087348562;0.002040919;;;;
0.0106;21478.7;148.3382222;-190.292;59.20874742;0.088180497;0.002060363;;;;
0.0107;21681.3;149.7374374;-192.085;59.76663364;0.089012431;0.002079801;;;;
0.0108;21884;151.1373432;-193.879;60.324831;0.089844366;0.002099244;;;;
0.0109;22086.6;152.5365584;-195.672;60.88271722;0.090676301;0.002118682;;;;
0.011;22289.3;153.9364643;-197.466;61.44091459;0.091508235;0.002138125;;;;
0.0111;22492;155.3363701;-199.259;61.9988008;0.09234017;0.002157563;;;;
0.0112;22694.6;156.7355853;-201.052;62.55668702;0.093172105;0.002177007;;;;
0.0113;22897.3;158.1354912;-202.846;63.11488439;0.09400404;0.002196444;;;;
0.0114;23099.9;159.5347064;-204.639;63.6727706;0.094835974;0.002215888;;;;
0.0115;23302.6;160.9346122;-206.432;64.23065682;0.095667909;0.002235331;;;;
0.0116;23505.3;162.3345181;-208.226;64.78885419;0.096499844;0.002254769;;;;
0.0117;23707.9;163.7337333;-210.019;65.3467404;0.097331778;0.002274213;;;;
0.0118;23910.6;165.1336391;-211.812;65.90462662;0.09816314;0.002293656;;;;
0.0119;24113.2;166.5328544;-213.605;66.46251284;0.098995075;0.002313094;;;;
0.012;24315.9;167.9327602;-215.398;67.02039906;0.09982701;0.002332537;;;;
0.0121;24518.6;169.332666;-217.191;67.57828527;0.100658944;0.002351981;;;;
0.0122;24721.2;170.7318813;-218.984;68.13617149;0.101490879;0.002371425;;;;
0.0123;24923.9;172.1317871;-220.777;68.69405771;0.102322814;0.002390862;;;;
0.0124;25126.6;173.5316929;-222.57;69.25194393;0.103154748;0.002410306;;;;
0.0125;25329.2;174.9309082;-224.362;69.809519;0.103986683;0.002429775;;;;
0.0126;25531.9;176.330814;-226.152;70.36647177;0.104818618;0.002449263;;;;
0.0127;25734.5;177.7300292;-227.94;70.92280226;0.105650553;0.00246879;;;;
0.0128;25937.2;179.1299351;-229.726;71.47851045;0.10648306;0.002488348;;;;
0.0129;26139.9;180.5298409;-231.511;72.03390749;0.107314995;0.002507931;;;;
0.013;26342.5;181.9290561;-233.295;72.58899339;0.10814693;0.002527534;;;;
0.0131;26545.2;183.328962;-235.077;73.14345699;0.108978864;0.002547168;;;;
0.0132;26747.8;184.7281772;-236.856;73.69698715;0.109811372;0.00256684;;;;
0.0133;26950.5;186.128083;-238.632;74.24958388;0.110643307;0.00258657;;;;
0.0134;27153.1;187.5272982;-240.404;74.80093601;0.111475242;0.00260635;;;;
0.0135;27355.8;188.9272041;-242.174;75.35166585;0.112307749;0.002626181;;;;
0.0136;27558.4;190.3264193;-243.941;75.90146225;0.113140257;0.002646044;;;;
0.0137;27761;191.7256345;-245.705;76.45032521;0.113972192;0.002665958;;;;
0.0138;27963.7;193.1255403;-247.464;76.99763244;0.114804699;0.002685947;;;;
0.0139;28166.3;194.5247556;-249.218;77.54338393;0.115637207;0.002706013;;;;
0.014;28368.9;195.9239708;-250.967;78.08757969;0.116470288;0.002726149;;;;
0.0141;28571.6;197.3238766;-252.713;78.63084201;0.117302795;0.002746349;;;;
0.0142;28774.2;198.7230918;-254.453;79.17223744;0.118135303;0.002766624;;;;
0.0143;28976.8;200.122307;-256.186;79.71145485;0.118968384;0.002786989;;;;
0.0144;29179.4;201.5215223;-257.912;80.24849424;0.119801464;0.002807474;;;;
0.0145;29382;202.9207375;-259.63;80.78304444;0.120634545;0.002828054;;;;
0.0146;29584.6;204.3199527;-261.343;81.31603892;0.121467626;0.00284873;;;;
0.0147;29787.2;205.7191679;-263.047;81.84623307;0.122300706;0.00286952;;;;
0.0148;29989.8;207.1183831;-264.739;82.37269346;0.12313436;0.002890456;;;;
0.0149;30192.4;208.5175983;-266.418;82.89510894;0.123968013;0.002911589;;;;
0.015;30394.9;209.9161229;-268.083;83.41316837;0.124801667;0.002932906;;;;
0.0151;30597.5;211.3153381;-269.73;83.92562715;0.125635893;0.002954458;;;;
0.0152;30800;212.7138627;-271.357;84.431863;0.126470693;0.002976289;;;;
0.0153;31002.5;214.1123873;-272.957;84.92969789;0.127305493;0.002998457;;;;
0.0154;31205;215.5109119;-274.532;85.4197541;0.128140865;0.003020961;;;;
0.0155;31407.4;216.9087458;-276.074;85.89954247;0.12897681;0.003043879;;;;
0.0156;31609.8;218.3065798;-277.58;86.36812956;0.129812756;0.003067266;;;;
0.0157;31812.2;219.7044137;-279.046;86.82427077;0.130649847;0.003091142;;;;
0.0158;32014.6;221.1022477;-280.467;87.26641038;0.131487511;0.00311557;;;;
0.0159;32216.9;222.499391;-281.838;87.69299264;0.132325749;0.003140621;;;;
0.016;32419.1;223.8958437;-283.154;88.10246183;0.133165132;0.003166339;;;;
0.0161;32621.3;225.2922964;-284.409;88.49295107;0.134005661;0.003192774;;;;
0.0161;32621.3;225.2922964;-284.409;88.49295107;0.134005661;0.003192774;;;;
0.0161912;32445.7;224.0795511;-285.862;88.94504738;0.134767695;0.003178334;;;;
0.0168589;33152.9;228.9636824;-294.725;91.70274149;0.140369503;0.003284614;;;;
0.01962;35099.6;242.4081654;-309.399;96.26850968;0.163875097;0.003831661;;;;
0.02262;35506.8;245.2204085;-312.974;97.3808595;0.189603767;0.00432587;;;;
0.02562;35844.4;247.5519734;-315.508;98.1693055;0.215349052;0.004812363;;;;
0.02862;36114.6;249.4180541;-317.996;98.94343874;0.241094338;0.005287979;;;;
0.03162;36394.7;251.3525071;-320.142;99.61115978;0.266845353;0.005765075;;;;
0.0346199;36642.5;253.0638868;-322.411;100.3171519;0.292594076;0.006235624;;;;
0.03762;36900.9;254.8484733;-324.47;100.9578031;0.318346237;0.006707264;;;;
0.04062;37135.3;256.4673086;-326.529;101.5984544;0.344097825;0.007174943;;;;
