Time [s];RF Mag [N];RM2 [Nm];Sigma [MPa];Extension [-];Tau [MPa];Actual angle [deg];Paper angle [deg];Paper Tau [MPa];Paper extension [-];Paper Sigma [MPa]
0;0;0;0;0;0;0;0;0;0;0
0.0001;162.081;-1.19791;1.119379077;1.55E-05;0.372725867;0.000554584;0.182440137;85.98885459;0.003553531;2.18E+02
0.0002;324.162;-2.39581;2.238758155;3.11E-05;0.745448622;0.001109166;2.28E-01;90.42153723;0.004738041;2.49E+02
0.0003;486.243;-3.59369;3.358137232;4.66E-05;1.118165154;0.001663749;3.65E-01;93.37744517;0.005649203;2.64E+02
0.0004;648.325;-4.79155;4.477523216;6.22E-05;1.490875464;0.002218338;5.47E-01;95.15173119;0.006833713;2.73E+02
0.0005;810.407;-5.98939;5.596909199;7.77E-05;1.86357955;0.002772921;7.75E-01;96.63086442;0.008291572;2.79E+02
0.0006;972.49;-7.18722;6.716302089;9.33E-05;2.236280525;0.003327504;1.05E+00;97.81484487;0.009840547;2.82E+02
0.0007;1134.57;-8.38503;7.83567426;0.000108841;2.608975277;0.003882087;1.46E+00;99.29532584;0.012209567;2.85E+02
0.0008;1296.66;-9.58283;8.955115494;0.00012439;2.981666917;0.004436676;1.87E+00;100.1848274;0.014031891;2.87E+02
0.0009;1458.74;-10.7806;10.07448767;0.000139938;3.354349224;0.004991259;2.37E+00;100.4840233;0.017129841;2.89E+02
0.001;1620.82;-11.9784;11.19385984;0.000155486;3.727040864;0.005545842;2.69E+00;99.0089333;0.019863326;2.92E+02
0.0011;1782.91;-13.1761;12.31330107;0.000171035;4.09970139;0.006100454;2.92E+00;96.05572082;0.021867882;2.93E+02
0.0012;1944.99;-14.3738;13.43267324;0.000186584;4.472361916;0.006655019;3.06E+00;93.6928139;0.02405467;2.94E+02
0.0013;2107.08;-15.5715;14.55211447;0.000202132;4.845022442;0.007209585;3.10E+00;91.92021255;0.026059226;2.96E+02
0.0014;2269.16;-16.7692;15.67148665;0.00021768;5.217682968;0.007764208;;;0.027881549;2.97E+02
0.0015;2431.25;-17.9669;16.79092788;0.000233229;5.590343493;0.008318774;;;0.030797267;2.98E+02
0.0016;2593.33;-19.1646;17.91030005;0.000248778;5.963004019;0.00887334;;;0.033530752;2.99E+02
0.0017;2755.42;-20.3622;19.02974128;0.000264326;6.33563343;0.009427963;;;0.036082005;3.00E+02
0.0018;2917.51;-21.5598;20.14918252;0.000279874;6.708262842;0.009982529;;;3.86E-02;3.00E+02
0.0019;3079.59;-22.7574;21.26855469;0.000295422;7.080892253;0.010537095;;;4.23E-02;3.01E+02
0.002;3241.68;-23.955;22.38799592;0.000310971;7.453521664;0.011091718;;;4.50E-02;3.01E+02
0.0021;3403.77;-25.1526;23.50743716;0.000326519;7.826151075;0.011646284;;;4.77E-02;3.02E+02
0.0022;3565.86;-26.3502;24.62687839;0.000342067;8.198780486;0.012200907;;;4.97E-02;3.02E+02
0.0023;3727.94;-27.5477;25.74625056;0.000357616;8.571378783;0.012755473;;;5.16E-02;3.01E+02
0.0024;3890.03;-28.7452;26.8656918;0.000373164;8.943977079;0.013310039;;;5.32E-02;3.00E+02
0.0025;4052.12;-29.9427;27.98513303;0.000388712;9.316575376;0.013864662;;;0.055398633;2.99E+02
0.0026;4214.21;-31.1402;29.10457426;0.00040426;9.689173672;0.014419228;;;0.057767654;2.97E+02
0.0027;4376.3;-32.3377;30.2240155;0.000419808;10.06177197;0.014973794;;;0.059589977;2.94E+02
0.0028;4538.39;-33.5352;31.34345673;0.000435356;10.43437027;0.015528417;;;0.060865604;2.92E+02
0.0029;4700.48;-34.7326;32.46289797;0.000450904;10.80693745;0.016082983;;;0.062323462;2.89E+02
0.003;4862.57;-35.93;33.5823392;0.000466453;11.17950463;0.016637606;;;0.063781321;2.85E+02
0.0031;5024.66;-37.1274;34.70178043;0.000482001;11.55207181;0.017192172;;;0.065056948;2.80E+02
0.0032;5186.75;-38.3248;35.82122167;0.000497549;11.92463899;0.017746737;;;0.066150342;2.75E+02
0.0033;5348.84;-39.5222;36.9406629;0.000513097;12.29720617;0.018301361;;;;
0.0034;5510.94;-40.7196;38.0601732;0.000528645;12.66977336;0.018855926;;;;
0.0035;5673.03;-41.9169;39.17961443;0.000544193;13.04230942;0.01941055;;;;
0.0036;5835.12;-43.1142;40.29905567;0.000559741;13.41484549;0.019965115;;;;
0.0037;5997.21;-44.3115;41.4184969;0.000575289;13.78738156;0.020519681;;;;
0.0038;6159.31;-45.5088;42.5380072;0.000590837;14.15991762;0.021074304;;;;
0.0039;6321.4;-46.7061;43.65744843;0.000606385;14.53245369;0.02162887;;;;
0.004;6483.49;-47.9033;44.77688967;0.000621933;14.90495864;0.022183493;;;;
0.0041;6645.59;-49.1006;45.89639996;0.000637478;15.27749471;0.022738059;;;;
0.0042;6807.68;-50.2978;47.0158412;0.000653029;15.64999966;0.023292682;;;;
0.0043;6969.78;-51.495;48.13535149;0.000668574;16.02250462;0.023847248;;;;
0.0044;7131.87;-52.6922;49.25479273;0.000684125;16.39500957;0.024401814;;;;
0.0045;7293.97;-53.8894;50.37430302;0.00069967;16.76751452;0.024956437;;;;
0.0046;7456.06;-55.0865;51.49374426;0.000715221;17.13998836;0.025511003;;;;
0.0047;7618.16;-56.2836;52.61325456;0.000730766;17.5124622;0.026065626;;;;
0.0048;7780.26;-57.4808;53.73276485;0.000746317;17.88496715;0.026620192;;;;
