Time [s];RF Mag [N];Sigma [MPa];Extension [-];Paper extension [-];Paper Sigma [MPa]
0;0;0;0;0;0
0.0001;131.689;0.909482983;1.26333E-05;0.001275626;83.75296238
0.0002;263.379;1.818972872;2.52665E-05;0.002095672;139.9484984
0.00035;460.914;3.183207705;4.42163E-05;0.002642369;173.4496834
0.000575;757.218;5.229570315;7.2641E-05;0.003006834;196.1440345
0.0009125;1201.68;8.299155667;0.000115277;0.003462415;220.9997524
0.00141875;1868.37;12.90351298;0.00017923;0.004100228;255.5816207
0.00217813;2868.44;19.81029066;0.000275159;0.004555809;273.9532382
0.00317813;4185.42;28.90574205;0.00040148;0.005102506;289.0828056
0.00417812;5502.43;38.00140064;0.000527797;0.005831435;302.0510063
0.00517813;6819.46;47.09719734;0.000654108;0.007744875;316.0998903
0.00617812;8136.52;56.19320124;0.000780417;0.009840547;322.0436489
0.00717812;9453.59;65.2892742;0.000906725;0.012027335;325.8260408
0.00817813;10770.7;74.38562341;0.00103302;0.014578588;329.0680909
0.00917813;12087.8;83.48190356;0.001159315;0.017676538;332.3101411
0.0101781;13404.9;92.57818371;0.001285611;0.022596811;337.1732163
0.0111781;14722;101.6744639;0.001411894;0.027517084;340.9556082
0.0121781;16039.2;110.7714346;0.001538176;0.03261959;343.6573166
0.0131781;17356.3;119.8677148;0.001664459;0.037539863;345.2783417
0.0141781;18673.5;128.9646856;0.001790729;0.039726651;346.3590251
0.0151781;19990.6;138.0609657;0.001916999;0.043371298;346.8993668
0.0161781;21307.7;147.1572459;0.002043269;0.046651481;347.4397085
0.0171781;22624.9;156.2542166;0.002169526;0.049749431;347.4397085
0.0181781;23942;165.3504968;0.00229579;0.052756264;347.4397085
0.0191781;25259.1;174.4467769;0.002422041;0.057767654;345.8186834
0.0201781;26576.2;183.5430571;0.002548292;0.061503417;343.1169749
0.0211781;27893.3;192.6393372;0.002674536;0.064145786;339.3345831
0.0221781;29207.4;201.7148985;0.002800794;0.066697039;333.3908245
0.0231781;30513.2;210.7331375;0.002927108;0.069977221;322.5839906
0.0241781;31804.9;219.6539978;0.003053505;0.07070615;313.9385235
0.0251781;33077;228.4394947;0.00318001;;
0.0261781;34322.7;237.0426654;0.003306661;;
0.0271781;35527.4;245.3626781;0.003433503;;
0.0281781;36660.3;253.1868189;0.003560592;;
0.0291781;37695;260.3327615;0.003687954;;
0.0301781;38614.6;266.6837897;0.003815558;;
0.0311781;39414;272.2046813;0.003943358;;
0.0321781;40100.6;276.9465429;0.004071273;;
0.0331781;40689.7;281.0150409;0.004199238;;
0.0341781;41196.8;284.5172227;0.004327197;;
0.0351781;41634.5;287.5401077;0.004455105;;
0.0361781;42013.9;290.1603557;0.004582931;;
0.0371781;42343.3;292.435289;0.004710662;;
0.0381781;42628;294.401511;0.004838265;;
0.0391781;42874.5;296.1039126;0.004965729;;
0.0401781;43083.8;297.5493999;0.005093034;;
0.0411781;43255.5;298.7352107;0.005220149;;
0.0421781;43395.8;299.7041637;0.005347066;;
0.0431781;43514.7;300.5253221;0.005473857;;
0.0441781;43622.8;301.2718925;0.005600572;;
0.0451781;43726.8;301.9901471;0.005727254;;
0.0461781;43828.1;302.6897547;0.005853918;;
0.0471781;43927.5;303.3762404;0.005980575;;
0.0481781;44025.1;304.0502947;0.006107226;;
0.0491781;44121.3;304.7146802;0.006233877;;
0.0501781;44215.9;305.3680156;0.006360554;;
0.0511781;44309.3;306.0130635;0.006487173;;
0.0521781;44401.4;306.6491332;0.006613792;;
0.0531781;44492;307.2748435;0.006740475;;
0.0541781;44581.3;307.8915756;0.006867094;;
0.0551781;44669.4;308.5000201;0.006993777;;
0.0561781;44756.5;309.1015583;0.00712046;;
0.0571781;44842.6;309.6961903;0.007247079;;
0.0581781;44927.7;310.2839159;0.007373762;;
0.0591781;45011.6;310.863354;0.007500445;;
0.0601781;45094.4;311.4351951;0.007627064;;
0.0611781;45175.7;311.9966769;0.007753747;;
0.0621781;45255.6;312.5484898;0.007880429;;
0.0631781;45334.2;313.0913245;0.008007176;;
0.0641781;45411.3;313.6237998;0.008133858;;
0.0651781;45487;314.1466063;0.008260541;;
0.0661781;45561.5;314.6611252;0.008387224;;
0.0671781;45634.6;315.1659753;0.00851397;;
0.0681781;45706.5;315.6625378;0.008640653;;
0.0691781;45777.2;316.1508129;0.008767399;;
0.0701781;45846.9;316.6321816;0.008894082;;
0.0711781;45915.4;317.1052627;0.009020828;;
0.0721781;45982.8;317.5707469;0.009147574;;
0.0731781;46049.1;318.0286343;0.009274257;;
0.0741781;46114.5;318.4803059;0.009401003;;
0.0751781;46178.9;318.9250712;0.00952775;;
0.0761781;46242.3;319.3629303;0.009654496;;
0.0771781;46304.8;319.7945737;0.009781242;;
0.0781781;46366.4;320.2200014;0.009907988;;
0.0791781;46427;320.6385229;0.010034735;;
0.0801781;46486.8;321.0515192;0.010161481;;
