PaperExtension,PaperStress,VMExtension,VMStress,NguyenExtension,NguyenStress,BoudardExtension,BoudardStress
0.00E+00,0.00E+00,0,0,0,0,0,0
5.56E-04,3.26E+07,4.94E-05,2282923.906,1.41E-05,658466.1214,1.43E-05,658466.1214
6.80E-04,3.89E+07,0.00020038,9254019.909,2.82E-05,1316940.53,2.85E-05,1316940.53
1.11E-03,4.14E+07,0.00059209,27252444.27,4.23E-05,1975428.061,4.28E-05,1975428.061
1.98E-03,4.29E+07,0.000917275,41928388.61,5.64E-05,2633915.592,5.70E-05,2633915.592
4.33E-03,4.51E+07,0.000917275,41928388.61,7.05E-05,3292423.842,7.13E-05,3292423.842
7.05E-03,4.62E+07,0.000914581,41790884.29,8.47E-05,3950932.092,8.56E-05,3950932.092
9.40E-03,4.66E+07,0.000916039,41843648.37,9.88E-05,4609454.154,9.99E-05,4609454.154
1.25E-02,4.69E+07,0.000917648,41893926.2,0.000112927,5267983.123,0.000114156,5267983.123
1.51E-02,4.69E+07,0.000920096,41966096.97,0.000127061,5926525.905,0.000128448,5926525.905
1.76E-02,4.73E+07,0.000923886,42066652.62,0.000141199,6585075.592,0.000142745,6585075.592
2.30E-02,4.73E+07,0.000929927,42197803.14,0.000155341,7243666.717,0.000157046,7243666.717
2.62E-02,4.77E+07,0.000940719,42342559.07,0.000169488,7902181.874,0.000171353,7902181.874
2.94E-02,4.73E+07,0.000954366,42399190.68,0.000183638,8560766.093,0.000185664,8560766.093
3.18E-02,4.73E+07,0.000973431,42423017.4,0.000197792,9219350.312,0.00019998,9219350.312
3.55E-02,4.73E+07,0.001001796,42448570.69,0.00021195,9877934.531,0.000214301,9877934.531
3.85E-02,4.73E+07,0.001044301,42486555.31,0.000226113,10536587.81,0.000228627,10536587.81
,,0.001107979,42542910.67,0.000240279,11195172.03,0.000242958,11195172.03
,,0.001203334,42626545.89,0.000254449,11853825.31,0.000257294,11853825.31
,,0.001314077,42750375.75,0.000268624,12512409.53,0.000271635,12512409.53
,,0.001425147,42891540.4,0.000282803,13171062.82,0.000285981,13171062.82
,,0.001536156,43030978.48,0.000296985,13829716.1,0.000300331,13829716.1
,,0.001647095,43169311.55,0.000311172,14488369.38,0.000314687,14488369.38
,,0.001758008,43306677.75,0.000325362,15147091.72,0.000329047,15147091.72
,,0.001868856,43443215.18,0.000339557,15805745.01,0.000343412,15805745.01
,,0.00197969,43579061.99,0.000353756,16464467.35,0.000357783,16464467.35
,,0.002090479,43714080.04,0.000367958,17123120.63,0.000372158,17123120.63
,,0.002201255,43848614.66,0.000382165,17781842.98,0.000386538,17781842.98
,,0.002313277,43982251.45,0.000396376,18440565.32,0.000400924,18440565.32
,,0.002424383,44073690.79,0.000410591,19099287.67,0.000415314,19099287.67
,,0.002534726,44129493.64,0.000424809,19758010.01,0.000429709,19758010.01
,,0.002645025,44185227.44,0.000439033,20416801.42,0.000444109,20416801.42
,,0.002755293,44240546.86,0.00045326,21075523.77,0.000458514,21075523.77
,,0.002865518,44295728.15,0.000467491,21734315.17,0.000472925,21734315.17
,,0.002975727,44350633.19,0.000481726,22393037.52,0.000487339,22393037.52
,,0.003085898,44405331.04,0.000495965,23051828.93,0.00050176,23051828.93
,,0.003196038,44459890.76,0.000510208,23710620.33,0.000516184,23710620.33
,,0.003306145,44514243.3,0.000524455,24369411.74,0.000530614,24369411.74
,,0.003416218,44568526.77,0.000538706,25028272.21,0.000545049,25028272.21
,,0.003526462,44622603.05,0.000552962,25687063.62,0.000559489,25687063.62
,,0.003637084,44673640.57,0.000567221,26345924.09,0.000573934,26345924.09
,,0.003747164,44710865.49,0.000581484,27004715.5,0.000588384,27004715.5
,,0.003856963,44741253.19,0.000595751,27663575.97,0.000602838,27663575.97
,,0.003966713,44769845.25,0.000610023,28322436.44,0.000617298,28322436.44
,,0.00407642,44798368.24,0.000624316,28981296.91,0.000631763,28981296.91
,,0.0041861,44826753.11,0.000638714,29640157.38,0.000646232,29640226.45
,,0.004295751,44855137.98,0.000653307,30298879.73,0.000660721,30299086.92
,,0.004405364,44883453.79,0.000668333,30957602.07,0.000675298,30957947.39
