PaperExtension,PaperStress,VMExtension,VMStress,NguyenExtension,NguyenStress,BoudardExtension,BoudardStress
0,0,0,0,0,0,0,0
0.001275626,83752962.38,0.000973704,45476428.21,0.000973704,45476428.21,0.000973704,45476428.21
0.002095672,139948498.4,0.001947054,90957276.45,0.001947054,90957276.45,0.001947054,90957276.45
0.002642369,173449683.4,0.002920059,136439367.8,0.002920059,136439367.8,0.002920059,136439367.8
0.003006834,196144034.5,0.003892718,181920768.6,0.003892718,181920768.6,0.003892718,181920768.6
0.003462415,220999752.4,0.004865399,227277856,0.004865624,227221915,0.004865588,227228130.7
0.004100228,255581620.7,0.00584534,269715652.9,0.005847422,269218399.7,0.005847134,269275031.3
0.004555809,273953238.2,0.006838772,297962396.3,0.006842767,297386411.4,0.006842352,297452021.2
0.005102506,289082805.6,0.007827735,311647909,0.007828417,311884104.3,0.007828566,311937282.7
0.005831435,302051006.3,0.008812191,318248254.4,0.008808915,320146794.7,0.008809573,320137816.5
0.007744875,316099890.3,0.009796191,321124035.3,0.009790887,324316124.5,0.009792005,324116532.6
0.009840547,322043648.9,0.010779747,323452837.8,0.010774635,326669789.6,0.010775923,326410113
0.012027335,325826040.8,0.011762744,325527488.5,0.011758853,328498576.3,0.011760418,328205058.8
0.014578588,329068090.9,0.012745067,327392188,0.012743395,330082880.2,0.012745061,329807319.1
0.017676538,332310141.1,0.013726809,329074561.3,0.013727938,331495217.4,0.013729717,331240375.1
0.022596811,337173216.3,0.014708018,330589802.2,0.014712416,332792910.1,0.0147143,332542902.2
0.027517084,340955608.2,0.01568869,331971751.7,0.015697001,333992533.4,0.015698851,333742525.5
0.03261959,343657316.6,0.016669055,333245272.4,0.016681518,335098921.7,0.016683493,334845460.7
0.037539863,345278341.7,0.017649206,334422104.9,0.017666087,336114837.6,0.017668071,335860686
0.039726651,346359025.1,0.018629255,335505011.8,0.018650691,337040971.7,0.018652673,336789582.6
