PaperAngle,PaperStress,VMAngle,VMStress,NguygenAngle,NguyenStress,BoudardAngle,BoudardStress
0.00E+00,0.00E+00,0,0,0,0,0,0
2.79E-01,1.46E+08,0.013137382,9131505.258,0.003753528,2609034.395,0.003753528,2609034.395
3.41E-01,1.56E+08,0.053253367,37013401.38,0.007507058,5218056.344,0.007507058,5218056.344
5.57E-01,1.64E+08,0.156828426,108986635.2,0.011260588,7827053.401,0.011260588,7827053.401
1.08E+00,1.70E+08,0.241334407,167163619.9,0.015014118,10436019.34,0.015014118,10436019.34
1.80E+00,1.75E+08,0.241334407,167163619.9,0.018767651,13044954.17,0.018767651,13044954.17
2.60E+00,1.79E+08,0.241714794,167374577.4,0.022521183,15653889,0.022521183,15653889
3.65E+00,1.83E+08,0.242095639,167575889.4,0.026274716,18262792.71,0.026274716,18262792.71
5.33E+00,1.86E+08,0.242669284,167864633.6,0.030028306,20871665.31,0.030028306,20871665.31
7.31E+00,1.88E+08,0.243531872,168266946.4,0.033781838,23480537.91,0.033781838,23480537.91
8.61E+00,1.88E+08,0.244833575,168791228.8,0.037535376,26089379.39,0.037535376,26089379.39
1.02E+01,1.89E+08,0.246807013,169370273,0.041288909,28698189.76,0.041288909,28698189.76
1.22E+01,1.89E+08,0.249830798,169597099,0.045042447,31306969.02,0.045042447,31306969.02
1.41E+01,1.90E+08,0.254389709,169692309.9,0.048795985,33915623.81,0.048795985,33915623.81
1.65E+01,1.90E+08,0.261232143,169794366.1,0.05254958,36524589.75,0.05254958,36524589.75
2.00E+01,1.90E+08,0.271496051,169946516.9,0.056303291,39133244.55,0.056303291,39133244.55
2.16E+01,1.91E+08,0.286892401,170171787.2,0.060056542,41741899.35,0.060056542,41741899.35
2.32E+01,1.91E+08,0.309987356,170506270,0.063810367,44350554.14,0.063810367,44350554.14
2.48E+01,1.90E+08,0.344630332,171001926.8,0.067563619,46959208.94,0.067563619,46959208.94
2.65E+01,1.90E+08,0.384681572,171566347.1,0.071317449,49567863.73,0.071317449,49567863.73
2.88E+01,1.90E+08,0.424733671,172123922.2,0.075070706,52176518.53,0.075070706,52176518.53
3.10E+01,1.90E+08,0.464786572,172677452.4,0.078824531,54785173.32,0.078824531,54785173.32
3.28E+01,1.90E+08,0.504839645,173226937.6,0.082577789,57393828.12,0.082577789,57393828.12
3.54E+01,1.90E+08,0.544892947,173773000.3,0.086331619,60002171.77,0.086331619,60002171.77
3.60E+01,1.90E+08,0.584944015,174316573.7,0.090084876,62610826.57,0.090084876,62610826.57
3.65E+01,1.90E+08,0.625001614,174856413.4,0.093838713,65219170.21,0.093838713,65219170.21
3.66E+01,1.86E+08,0.665053599,175394697.4,0.09759197,67827825.01,0.09759197,67827825.01
3.66E+01,1.82E+08,0.705111427,175929247.6,0.101345806,70436168.66,0.101345806,70436168.66
,,0.745177621,176294845.1,0.105099637,73044512.31,0.105099637,73044512.31
,,0.785267936,176518248.5,0.1088529,75652855.96,0.1088529,75652855.96
,,0.825352579,176741029.6,0.112606736,78261510.75,0.112606736,78261510.75
