Time;PE1MAX;PE1MIN;PE2MAX;PE2MIN;PEEQMAX;PEEQMIN
0;0;0;0;0;0;0
0.0001;0;0;0;0;0;0
0.0002;0;0;0;0;0;0
0.0003;0;0;0;0;0;0
0.0004;0;0;0;0;0;0
0.0005;0;0;0;0;0;0
0.0006;0;0;0;0;0;0
0.0007;0;0;0;0;0;0
0.0008;0;0;0;0;0;0
0.0009;0;0;0;0;0;0
0.001;0;0;0;0;0;0
0.0011;0;0;0;0;0;0
0.0012;0;0;0;0;0;0
0.0013;0;0;0;0;0;0
0.0014;0;0;0;0;0;0
0.0015;0;0;0;0;0;0
0.0016;0;0;0;0;0;0
0.0017;0;0;0;0;0;0
0.0018;0;0;0;0;0;0
0.0019;0;0;0;0;0;0
0.002;0;0;0;0;0;0
0.0021;0;0;0;0;0;0
0.0022;0;0;0;0;0;0
0.0023;0;0;0;0;0;0
0.0024;0;0;0;0;0;0
0.0025;0;0;0;0;0;0
0.0026;0;0;0;0;0;0
0.0027;0;0;0;0;0;0
0.0028;0;0;0;0;0;0
0.0029;0;0;0;0;0;0
0.003;0;0;0;0;0;0
0.0031;0;0;0;0;0;0
0.0032;0;0;0;0;0;0
0.0033;0;0;0;0;0;0
0.0034;0;0;0;0;0;0
0.0035;0;0;0;0;0;0
0.0036;0;0;0;0;0;0
0.0037;0;0;0;0;0;0
0.0038;0;0;0;0;0;0
0.0039;0;0;0;0;0;0
0.004;0;0;0;0;0;0
0.0041;0;0;0;0;0;0
0.0042;0;0;0;0;0;0
0.0043;0;0;0;0;0;0
0.0044;0;0;0;0;0;0
0.0045;0;0;0;0;0;0
0.0046;0;0;0;0;0;0
0.0047;0;0;0;0;0;0
0.0048;0;0;0;0;0;0
0.0049;0;0;0;0;0;0
0.005;0;0;0;0;0;0
0.0051;0;0;0;0;0;0
0.0052;0;0;0;0;0;0
0.0053;0;0;0;0;0;0
0.0054;0;0;0;0;0;0
0.0055;0;0;0;0;0;0
0.0056;0;0;0;0;0;0
0.0057;0;0;0;0;0;0
0.0058;0;0;0;0;0;0
0.0059;0;1.50E-07;0;-1.35E-07;0;1.65E-07
0.006;0;8.02E-06;0;-7.21E-06;0;8.83E-06
0.0061;0;3.93E-05;0;-3.53E-05;0;4.32E-05
0.0061;0;3.93E-05;0;-3.53E-05;0;4.32E-05
0.00619125;8.56E-08;8.43E-05;-7.62E-08;-7.58E-05;9.39E-08;9.29E-05
0.00685887;0.000425405;0.000609605;-0.000377967;-0.000547993;0.000466247;0.000671173
0.0106849;0.00339126;0.00373144;-0.00299636;-0.00335081;0.00370899;0.00410662
0.0156849;0.0072751;0.0078165;-0.00640159;-0.0070052;0.00794447;0.00859571
0.0206849;0.0112095;0.0119682;-0.00983787;-0.0107032;0.012229;0.0131504
0.0256849;0.0151845;0.0161569;-0.013303;-0.0144203;0.0165548;0.0177392
0.0306849;0.0191646;0.0203601;-0.0167693;-0.0181399;0.0208847;0.0223392
0.0356849;0.0231606;0.024578;-0.0202473;-0.021864;0.0252311;0.0269516
0.0406849;0.0271541;0.0287977;-0.0237215;-0.0255839;0.0295743;0.0315636
0.0456849;0.0311545;0.033024;-0.0272002;-0.029305;0.0339247;0.0361811
0.0506849;0.0351447;0.0372389;-0.0306684;-0.0330133;0.0382638;0.0407854
0.0556849;0.0391333;0.0414527;-0.0341335;-0.0367187;0.0426008;0.0453882
0.0606849;0.0431136;0.0456548;-0.0375897;-0.0404127;0.0469288;0.0499784
0.0656849;0.0470872;0.0498512;-0.0410381;-0.0441009;0.0512493;0.0545627
0.0706849;0.0509861;0.0539653;-0.0444197;-0.0477169;0.0554885;0.0590581
