TRIAX	PEEQ	TRIAX	PEEQ
-3.33E-16	2.22E-16	-4.44E-16	-0.001368301
0.196976242	0.001366743	-0.303239741	0.012314709
0.082937365	0.009567198	0.128293737	0.036944128
-0.108855292	0.097038724	-0.555939525	0.056100342
-0.137365011	0.292482916	0.003887689	0.056100342
0.023326134	0.435990888	0.092008639	0.061573546
-0.198272138	0.53166287	0.606479482	0.084834664
0.158099352	0.569931663	0.241036717	0.113568985
0.265658747	0.658769932	0.291576674	0.113568985
		0.502807775	0.158722919
		-0.391360691	0.355758267
		-0.423758099	0.682782212
		-0.220302376	0.749828962
