PlasticStrain,VMStress,Hill48Stress
0,293000000,308000000
0.01,302650392.4,321948609.1
0.02,307012149,328419729.5
0.03,309881673.4,332714950.9
0.04,312029152.2,335946184
0.05,313748339.4,338542423.5
0.06,315183330.6,340715523.2
0.07,316415701,342585975.6
0.08,317496181.9,344228977
0.09,318458502.1,345694661
0.1,319326237.2,347018150.8
0.11,320116521.2,348225022.5
0.12,320842201.8,349334486.5
0.13,321513163,350361343.6
0.14,322137173.1,351317242.2
0.15,322720449.5,352211516
0.16,323268046.8,353051761.5
0.17,323784129.9,353844244.3
0.18,324272172.1,354594194.3
0.19,324735100.1,355306022
0.2,325175403.3,355983482.4
0.21,325595217.1,356629798.3
0.22,325996387.1,357247757.2
0.23,326380518.9,357839786.4
0.24,326749019,358408012.3
0.25,327103125.5,358954308.9
0.26,327443934.5,359480335.8
0.27,327772421.2,359987570.1
0.28,328089456.7,360477332.2
0.29,328395822.5,360950807.2
0.3,328692222.5,361409063.1
0.31,328979292.8,361853065.3
0.32,329257610.4,362283689.8
0.33,329527699.8,362701733.8
0.34,329790040,363107924.8
0.35,330045068.8,363502928.7
0.36,330293188,363887356.3
0.37,330534766.9,364261769.7
0.38,330770145.9,364626686.9
0.39,330999639.4,364982586.5
0.4,331223538.3,365329911.7
0.41,331442112.4,365669073.4
0.42,331655612.4,366000453.7
0.43,331864271.6,366324408.2
0.44,332068307.4,366641268.7
0.45,332267923.1,366951344.8
0.46,332463308.6,367254926.4
0.47,332654641.7,367552285.1
0.48,332842089.4,367843675.5
0.49,333025808.3,368129337.1
0.5,333205945.9,368409494.8
0.51,333382640.9,368684360.9
0.52,333556024.3,368954135.1
0.53,333726219.4,369219006.2
0.54,333893343,369479152.7
0.55,334057505.4,369734743.2
0.56,334218811.1,369985937.6
0.57,334377359.1,370232887.4
0.58,334533243.5,370475736.4
0.59,334686553.3,370714621.1
0.6,334837373.4,370949671.2
0.61,334985784.4,371181010.3
0.62,335131863.2,371408755.9
0.63,335275682.7,371633020.1
0.64,335417312.9,371853909.7
0.65,335556820.2,372071526.7
0.66,335694268.1,372285968.4
0.67,335829717.4,372497328
0.68,335963226.2,372705694.4
0.69,336094849.9,372911153
0.7,336224641.9,373113785.1
0.71,336352653.1,373313669.1
0.72,336478932.2,373510879.8
0.73,336603526.3,373705489.3
0.74,336726480.3,373897566.5
0.75,336847837.3,374087177.8
0.76,336967638.9,374274386.8
0.77,337085924.9,374459254.8
0.78,337202733.8,374641840.8
0.79,337318102.5,374822201.5
0.8,337432066.6,375000391.5
0.81,337544660.2,375176463.4
0.82,337655916.4,375350468
0.83,337765867.1,375522454.2
0.84,337874542.9,375692469.1
0.85,337981973.4,375860558.3
0.86,338088187.2,376026765.8
0.87,338193212,376191134
0.88,338297074.5,376353703.9
0.89,338399800.4,376514515.3
0.9,338501414.6,376673606.5
0.91,338601941.4,376831014.6
0.92,338701404,376986775.6
0.93,338799825.1,377140924.2
0.94,338897226.4,377293494.1
0.95,338993629.3,377444517.9
0.96,339089054.3,377594027.2
0.97,339183521.2,377742052.8
0.98,339277049.3,377888624.3
0.99,339369657.5,378033770.5
1,339461363.9,378177519.5
