Time,PE11,SIGMA1,PE1
0,0,0.00,0
0.0001,0,2879340.00,0
0.0002,0,5758660.00,0
0.0003,0,8637980.00,0
0.0004,0,11517300.00,0
0.0005,0,14396600.00,0
0.0006,0,17275900.00,0
0.0007,0,20155100.00,0
0.0008,0,23034400.00,0
0.0009,0,25913700.00,0
0.001,0,28792900.00,0
0.0011,0,31672200.00,0
0.0012,0,34551400.00,0
0.0013,0,37430600.00,0
0.0014,0,40309800.00,0
0.0015,0,43189000.00,0
0.0016,0,46068200.00,0
0.0017,0,48947400.00,0
0.0018,0,51826600.00,0
0.0019,0,54705700.00,0
0.002,0,57584900.00,0
0.0021,0,60464000.00,0
0.0022,0,63343200.00,0
0.0023,0,66222300.00,0
0.0024,0,69101400.00,0
0.0025,0,71980600.00,0
0.0026,0,74859700.00,0
0.0027,0,77738800.00,0
0.0028,0,80617900.00,0
0.0029,0,83497000.00,0
0.003,0,86376000.00,0
0.0031,0,89255100.00,0
0.0032,0,92134200.00,0
0.0033,0,95013200.00,0
0.0034,0,97892300.00,0
0.0035,0,100771000.00,0
0.0036,0,103650000.00,0
0.0037,0,106529000.00,0
0.0038,0,109408000.00,0
0.0039,0,112287000.00,0
0.004,0,115166000.00,0
0.0041,0,118045000.00,0
0.0042,0,120924000.00,0
0.0043,0,123803000.00,0
0.0044,0,126682000.00,0
0.0045,0,129561000.00,0
0.0046,0,132440000.00,0
0.0047,0,135319000.00,0
0.0048,0,138198000.00,0
0.0049,0,141077000.00,0
0.005,0,143956000.00,0
0.0051,0,146835000.00,0
0.0052,0,149714000.00,0
0.0053,0,152593000.00,0
0.0054,0,155472000.00,0
0.0055,0,158351000.00,0
0.0056,0,161226000.00,0
0.0057,0,164087000.00,0
0.0058,0,166920000.00,0
0.0059,-8.39E-14,169708000.00,1.29E-12
0.006,-2.94E-07,172167000.00,4.52E-06
0.0061,-2.42E-06,173240000.00,3.71E-05
0.0061,-2.42E-06,173240000.00,3.71E-05
0.00619125,-5.47E-06,173669000.00,8.37E-05
0.00685887,-4.08E-05,174390000.00,0.000630415
0.0106849,-0.000217732,177385000.00,0.00352898
0.0156849,-0.000426219,181907000.00,0.00714004
0.0206849,-0.000633848,185621000.00,0.0108264
0.0256849,-0.000845198,188093000.00,0.0145687
0.0306849,-0.0010542,190488000.00,0.0182488
0.0356849,-0.00127404,192393000.00,0.0220697
0.0406849,-0.00149212,194182000.00,0.0258089
0.0456849,-0.0017173,195782000.00,0.02962
0.0506849,-0.00194557,197232000.00,0.0334247
0.0556849,-0.0021758,198588000.00,0.0372146
0.0606849,-0.00241437,199848000.00,0.0410855
0.0656849,-0.00265226,201024000.00,0.0448962
0.0706849,-0.00289839,202144000.00,0.0487896
0.0756849,-0.0031461,203198000.00,0.0526564
0.0806849,-0.00339757,204191000.00,0.0565376
0.0856849,-0.00365519,205163000.00,0.0604634
0.0906849,-0.00391327,206058000.00,0.064352
0.0956849,-0.00417919,206961000.00,0.0683129
0.100685,-0.00444602,207799000.00,0.0722422
0.105685,-0.00471837,208622000.00,0.0762105
0.110685,-0.00499465,209428000.00,0.0801912
0.115685,-0.00527362,210176000.00,0.0841697
0.120685,-0.00555846,210939000.00,0.0881896
0.125685,-0.00584525,211647000.00,0.0921959
0.130685,-0.00613763,212362000.00,0.0962403
0.135685,-0.00643283,213043000.00,0.100284
0.140685,-0.00673264,213714000.00,0.104351
0.145685,-0.00703621,214370000.00,0.108431
0.150685,-0.00734376,215006000.00,0.112526
0.155685,-0.00765543,215634000.00,0.116638
0.160685,-0.00797076,216240000.00,0.120762
0.165685,-0.00829058,216845000.00,0.124908
0.170685,-0.00861381,217423000.00,0.129062
0.175685,-0.00894183,218006000.00,0.133242
0.180685,-0.00927322,218563000.00,0.13743
0.185685,-0.00960925,219122000.00,0.141641
0.190685,-0.00994904,219662000.00,0.145866
0.195685,-0.0102931,220199000.00,0.15011
0.200685,-0.0106413,220724000.00,0.15437
0.205685,-0.0109936,221242000.00,0.158648
0.210685,-0.0113501,221750000.00,0.162944
0.215685,-0.0117107,222251000.00,0.167257
0.220685,-0.0120757,222744000.00,0.17159
0.225685,-0.0124448,223230000.00,0.175941
0.230685,-0.0128185,223710000.00,0.180314
0.235685,-0.0131965,224182000.00,0.184705
0.240685,-0.013579,224649000.00,0.189119
0.245685,-0.0139659,225109000.00,0.193551
0.250685,-0.0143573,225563000.00,0.198005
0.255685,-0.0147531,226011000.00,0.202479
0.260685,-0.0151536,226453000.00,0.206975
0.265685,-0.0155587,226890000.00,0.211494
0.270685,-0.0159685,227322000.00,0.216036
0.275685,-0.0163832,227750000.00,0.220601
0.280685,-0.0168026,228172000.00,0.225189
0.285685,-0.0172269,228589000.00,0.229802
0.290685,-0.0176562,229001000.00,0.23444
0.295685,-0.0180906,229411000.00,0.239104
0.300685,-0.0185301,229814000.00,0.243794
0.305685,-0.0189749,230216000.00,0.248512
0.310685,-0.019425,230611000.00,0.253256
0.315685,-0.0198804,231006000.00,0.258029
0.320685,-0.0203413,231393000.00,0.262831
0.325685,-0.0208079,231779000.00,0.267664
0.330685,-0.0212801,232160000.00,0.272527
0.335685,-0.0217582,232539000.00,0.277421
0.340685,-0.0222423,232914000.00,0.282349
0.345685,-0.0227325,233286000.00,0.28731
0.350685,-0.0232289,233657000.00,0.292307
0.355685,-0.0237318,234023000.00,0.297339
0.360685,-0.0242412,234387000.00,0.302408
0.365685,-0.0247573,234747000.00,0.307516
0.370685,-0.0252803,235106000.00,0.312664
0.375685,-0.0258106,235462000.00,0.317855
0.380685,-0.0263482,235816000.00,0.323088
0.385685,-0.0268934,236169000.00,0.328366
0.390685,-0.0274463,236519000.00,0.33369
0.395685,-0.0280071,236867000.00,0.339061
0.400685,-0.0285762,237213000.00,0.344481
0.405685,-0.0291538,237556000.00,0.349953
0.410685,-0.0297402,237898000.00,0.355478
0.415685,-0.0303358,238239000.00,0.361059
0.420685,-0.0309408,238577000.00,0.3667
0.425685,-0.0315558,238915000.00,0.372401
0.430685,-0.0321809,239252000.00,0.378166
0.435685,-0.0328167,239587000.00,0.383997
0.440685,-0.0334634,239921000.00,0.389898
0.445685,-0.0341216,240254000.00,0.395871
0.450685,-0.0347919,240584000.00,0.40192
0.455685,-0.0354747,240914000.00,0.408049
0.460685,-0.0361707,241244000.00,0.414263
0.465685,-0.0368805,241572000.00,0.420567
0.470685,-0.0376048,241900000.00,0.426964
0.475685,-0.0383443,242227000.00,0.43346
