PaperExtensionPoint,PaperSigmaPoint,PaperExtensionCurve,PaperSigmaCurve,ExperimentalExtensionPoint,ExperimentalSigmaPoint,ExperimentalExtensionCurve,ExperimentalSigmaCurve
0.028374656,168.1976744,0.000174852,16.66081251,0.030926403,167.6910399,0,0
0.035041322,168.5174419,0.000143982,13.00909486,0.038823851,168.0688142,1.30E-05,0.932812445
0.035592287,168.1976744,0.000253297,20.88795233,0.040208661,168.0550016,2.59E-05,1.865631796
0.036914601,168.5174419,0.000299057,27.8649462,0.042969139,167.9341415,3.89E-05,2.798451146
0.038236915,168.1976744,0.000293337,24.32388666,0.046170434,167.5404827,5.18E-05,3.731277404
0.039504132,168.1976744,0.000390576,31.11276175,0.04888951,166.7062023,6.48E-05,4.664096755
0.040881543,166.9186047,0.000459216,33.7685564,0.052011176,164.5583448,7.77E-05,5.596923012
0.04214876,165,0.000531669,37.09567693,0.055029528,160.9007714,9.07E-05,6.529756175
0.043360882,163.0813953,0.000607935,40.71050854,0.057863729,155.616075,0.000103667,7.462596245
,,0.000646068,47.49753932,,,0.000116627,8.395429409
,,0.000627002,43.99336582,,,0.000129587,9.328262572
,,0.000684202,51.0754849,,,0.000142548,10.26109574
,,0.000779534,53.98948181,,,0.000155509,11.1939289
,,0.000840547,59.64779986,,,0.00016847,12.12676206
,,0.000817667,56.60839043,,,0.000181431,13.05966429
,,0.000874867,64.24380006,,,0.000194392,13.99249745
,,0.000817667,61.47734729,,,0.000207355,14.92533062
,,0.000951133,69.22341503,,,0.000220317,15.85823284
,,0.000893934,66.7889366,,,0.000233279,16.79106601
,,0.000985453,73.20710702,,,0.000246242,17.72389917
,,0.001069346,76.21700762,,,0.000259206,18.6568014
,,0.001141799,79.58839139,,,0.000272169,19.58963456
,,0.001170399,87.53733234,,,0.000285133,20.52253679
,,0.001160866,84.71555052,,,0.000298097,21.45536995
,,0.001141799,82.72370453,,,0.000311062,22.38827218
,,0.001221879,90.95666795,,,0.000324027,23.3211744
,,0.001332465,94.19526199,,,0.000336991,24.25400757
,,0.001408731,98.25272604,,,0.000349957,25.18690979
,,0.001487721,103.1164135,,,0.000362923,26.11981202
,,0.001427797,100.4290022,,,0.000375889,27.05264518
,,0.001547644,107.6692043,,,0.000388855,27.98554741
,,0.001694729,119.222438,,,0.000401822,28.91844963
,,0.001671849,110.3218373,,,0.000414789,29.85135186
,,0.001702356,114.5932404,,,0.000427756,30.78425409
,,0.001824382,122.7155457,,,0.000440724,31.71715631
,,0.001770996,112.1587619,,,0.000453692,32.65005854
,,0.001866328,126.5074303,,,0.00046666,33.58296077
,,0.001946408,130.2181656,,,0.000479629,34.51586299
,,0.002053181,133.00675,,,0.000492597,35.44876522
,,0.002171393,136.1346859,,,0.000505566,36.38166745
,,0.002332097,138.8115583,,,0.000518536,37.31456967
,,0.002514591,141.8520216,,,0.000531506,38.24754096
,,0.002781523,144.5262593,,,0.000544476,39.18044319
,,0.003143788,146.6136736,,,0.000557447,40.11334542
,,0.003563252,148.3842034,,,0.000570417,41.0463167
,,0.003982717,149.7724597,,,0.000583389,41.97921893
,,0.004402181,150.3358101,,,0.00059636,42.91212116
,,0.004821645,151.4625109,,,0.000609332,43.84509245
,,0.00524111,152.0862202,,,0.000622304,44.77799467
,,0.005660574,152.7501689,,,0.000635274,45.71096596
,,0.006080038,153.5348355,,,0.000648247,46.64386819
,,0.006499503,154.0277671,,,0.00066122,47.57683948
,,0.006918967,154.4201004,,,0.000674194,48.50981077
,,0.007338431,155.0639294,,,0.000687167,49.44271299
,,0.007757896,155.6172199,,,0.000700146,50.37568428
,,0.00817736,156.2308694,,,0.000713119,51.30865557
,,0.008596825,156.6030831,,,0.000726092,52.24162686
,,0.009016289,157.1463138,,,0.000739065,53.17452909
,,0.009435753,157.6694249,,,0.000752045,54.10750038
,,0.009855218,158.2227154,,,0.000765018,55.04047167
,,0.010274682,158.6351684,,,0.000777997,55.97344296
,,0.010694146,159.1582795,,,0.00079097,56.90641425
,,0.011113611,159.6612709,,,0.00080395,57.83938554
,,0.011533075,160.0334845,,,0.000816923,58.77235682
,,0.011952539,160.5565956,,,0.000829902,59.70532811
,,0.012372004,160.9187494,,,0.000842882,60.6382994
,,0.012791468,161.4016212,,,0.000855855,61.57133976
,,0.013210932,161.703416,,,0.000868834,62.50431105
,,0.013630397,161.8844929,,,0.000881814,63.43728233
,,0.014049861,162.286886,,,0.000894793,64.37025362
,,0.014469325,162.5585014,,,0.000907772,65.30329398
,,0.01488879,162.9608945,,,0.000920752,66.23626527
,,0.015308254,163.3331082,,,0.000933731,67.16923656
,,0.015727719,163.6047235,,,0.000946711,68.10227691
,,0.016147183,163.9568175,,,0.00095969,69.0352482
