Time [s];EPS [-];VM [Pa]
0;0;0.00
0.0001;0;1795120.00
0.0002;0;3590330.00
0.0003;0;5385620.00
0.0004;0;7181010.00
0.0005;0;8976500.00
0.0006;0;10772100.00
0.0007;0;12567700.00
0.0008;0;14363500.00
0.0009;0;16159300.00
0.001;0;17955300.00
0.0011;0;19751300.00
0.0012;0;21547400.00
0.0013;0;23343600.00
0.0014;0;25139900.00
0.0015;0;26936300.00
0.0016;0;28732700.00
0.0017;0;30529300.00
0.0018;0;32326000.00
0.0019;0;34122700.00
0.002;0;35919500.00
0.0021;0;37716500.00
0.0022;0;39513500.00
0.0023;0;41310600.00
0.0024;0;43107800.00
0.0025;0;44905000.00
0.0026;0;46702400.00
0.0027;0;48499900.00
0.0028;0;50297400.00
0.0029;0;52095000.00
0.003;0;53892800.00
0.0031;0;55690600.00
0.0032;0;57488500.00
0.0033;0;59286500.00
0.0034;0;61084500.00
0.0035;0;62882700.00
0.0036;0;64681000.00
0.0037;0;66479300.00
0.0038;0;68277800.00
0.0039;0;70076300.00
0.004;0;71874900.00
0.0041;0;73673600.00
0.0042;0;75472400.00
0.0043;0;77271200.00
0.0044;0;79070200.00
0.0045;0;80869200.00
0.0046;0;82668400.00
0.0047;0;84467600.00
0.0048;0;86266900.00
0.0049;0;88066300.00
0.005;0;89865800.00
0.0051;0;91665400.00
0.0052;0;93465000.00
0.0053;0;95264800.00
0.0054;0;97064600.00
0.0055;0;98864500.00
0.0056;0;100665000.00
0.0057;0;102465000.00
0.0058;0;104265000.00
0.0059;0;106065000.00
0.006;0;107865000.00
0.0061;0;109666000.00
0.0062;0;111466000.00
0.0063;0;113267000.00
0.0064;0;115068000.00
0.0065;0;116869000.00
0.0066;0;118669000.00
0.0067;0;120470000.00
0.0068;0;122271000.00
0.0069;0;124073000.00
0.007;0;125874000.00
0.0071;0;127675000.00
0.0072;0;129476000.00
0.0073;0;131278000.00
0.0074;0;133080000.00
0.0075;0;134881000.00
0.0076;0;136683000.00
0.0077;0;138485000.00
0.0078;0;140287000.00
0.0079;0;142089000.00
0.008;0;143891000.00
0.0081;0;145693000.00
0.0082;0;147495000.00
0.0083;0;149297000.00
0.0084;0;151100000.00
0.0085;0;152902000.00
0.0086;0;154705000.00
0.0087;0;156508000.00
0.0088;0;158310000.00
0.0089;0;160113000.00
0.009;0;161916000.00
0.0091;0;163719000.00
