Time [s];EPS [-];VM [Pa]
0;0;0.00
0.0001;0;615788.00
0.0002;0;1231700.00
0.00035;0;2155810.00
0.000575;0;3542510.00
0.0009125;0;5623760.00
0.00141875;0;8748340.00
0.00217813;0;13441200.00
0.00317813;0;19632200.00
0.00417812;0;25835400.00
0.00517813;0;32050900.00
0.00617812;0;38278500.00
0.00717812;0;44518100.00
0.00817813;0;50769700.00
0.00917813;0;57033100.00
0.0101781;0;63308200.00
0.0111781;0;69595000.00
0.0121781;0;75893300.00
0.0131781;0;82203200.00
0.0141781;0;88524300.00
0.0151781;0;94856800.00
0.0161781;0;101200000.00
0.0171781;0;107555000.00
0.0181781;0;113921000.00
0.0191781;0;120297000.00
0.0201781;0;126685000.00
0.0211781;0;133083000.00
0.0221781;0;139473000.00
0.0231781;0;145822000.00
0.0241781;0;152093000.00
0.0251781;0;158252000.00
0.0261781;0;164244000.00
0.0271781;0;169643000.00
0.0281781;0;174115000.00
0.0291781;0;177928000.00
0.0301781;0;181512000.00
0.0311781;0;185324000.00
0.0321781;0;189887000.00
0.0331781;0;195438000.00
0.0341781;0;202078000.00
0.0351781;0;209716000.00
0.0361781;0;218170000.00
0.0371781;0;227362000.00
0.0381781;0;237312000.00
0.0391781;0;247942000.00
0.0401781;0;259087000.00
0.0411781;7.27E-06;270094000.00
0.0421781;0.000145779;272955000.00
0.0431781;0.000310499;273581000.00
0.0441781;0.000473298;273893000.00
0.0451781;0.000633904;274196000.00
0.0461781;0.000793431;274510000.00
0.0471781;0.000952484;274830000.00
0.0481781;0.00111126;275151000.00
0.0491781;0.00126985;275472000.00
0.0501781;0.00142833;275795000.00
0.0511781;0.00158662;276116000.00
0.0521781;0.00174481;276438000.00
0.0531781;0.00190271;276757000.00
0.0541781;0.00206026;277075000.00
0.0551781;0.00221749;277392000.00
0.0561781;0.00237448;277710000.00
0.0571781;0.00253119;278027000.00
0.0581781;0.00268768;278344000.00
0.0591781;0.00284334;278652000.00
0.0601781;0.00299837;278962000.00
0.0611781;0.00315293;279272000.00
0.0621781;0.00330713;279583000.00
0.0631781;0.00346128;279897000.00
0.0641781;0.00361537;280211000.00
0.0651781;0.00376952;280526000.00
0.0661781;0.00392388;280844000.00
0.0671781;0.00407839;281161000.00
0.0681781;0.00423327;281481000.00
0.0691781;0.00438841;281801000.00
0.0701781;0.00454401;282124000.00
0.0711781;0.00469998;282447000.00
0.0721781;0.00485646;282772000.00
0.0731781;0.00501334;283097000.00
0.0741781;0.00517083;283426000.00
0.0751781;0.00532876;283753000.00
0.0761781;0.00548732;284084000.00
0.0771781;0.00564634;284414000.00
0.0781781;0.00580595;284747000.00
0.0791781;0.00596611;285080000.00
0.0801781;0.00612676;285414000.00
0.0811781;0.00628805;285751000.00
0.0821781;0.00644978;286086000.00
0.0831781;0.00661221;286426000.00
0.0841781;0.00677514;286765000.00
0.0851781;0.00693847;287103000.00
0.0861781;0.00710246;287446000.00
0.0871781;0.00726691;287787000.00
0.0881781;0.00743188;288130000.00
0.0891781;0.00759745;288475000.00
0.0901781;0.00776335;288818000.00
0.0911781;0.00792973;289163000.00
0.0921781;0.00809667;289511000.00
0.0931781;0.00826392;289856000.00
0.0941781;0.00843167;290204000.00
0.0951781;0.00860001;290555000.00
0.0961781;0.0087686;290903000.00
0.0971781;0.00893742;291250000.00
0.0981781;0.00910671;291602000.00
0.0991781;0.00927621;291950000.00
0.100178;0.00944589;292299000.00
0.101178;0.00961635;292657000.00
0.102178;0.00978716;293010000.00
0.103178;0.00995819;293362000.00
0.104178;0.0101319;293601000.00
0.105178;0.0103071;293778000.00
0.106178;0.0104827;293945000.00
0.107178;0.0106584;294109000.00
0.108178;0.0108343;294271000.00
0.109178;0.0110101;294433000.00
0.110178;0.011186;294595000.00
0.111178;0.011362;294758000.00
0.112178;0.011538;294921000.00
0.113178;0.011714;295083000.00
0.114178;0.0118902;295246000.00
0.115178;0.0120664;295409000.00
0.116178;0.0122426;295571000.00
0.117178;0.0124189;295734000.00
0.118178;0.0125952;295896000.00
0.119178;0.0127715;296058000.00
0.120178;0.0129478;296221000.00
0.121178;0.0131242;296383000.00
0.122178;0.0133005;296546000.00
0.123178;0.0134769;296708000.00
0.124178;0.0136534;296871000.00
0.125178;0.0138298;297033000.00
0.126178;0.0140062;297195000.00
0.127178;0.0141826;297357000.00
0.128178;0.0143589;297518000.00
0.129178;0.0145351;297679000.00
0.130178;0.0147113;297841000.00
0.131178;0.0148875;298003000.00
0.132178;0.0150637;298165000.00
0.133178;0.0152399;298327000.00
0.134178;0.0154162;298490000.00
0.135178;0.0155925;298653000.00
0.136178;0.0157689;298815000.00
0.137178;0.0159453;298978000.00
0.138178;0.0161218;299142000.00
0.139178;0.0162984;299305000.00
0.140178;0.0164748;299466000.00
0.141178;0.0166514;299629000.00
0.142178;0.0168279;299792000.00
0.143178;0.0170045;299954000.00
0.144178;0.017181;300116000.00
0.145178;0.0173577;300280000.00
0.146178;0.0175345;300444000.00
0.147178;0.0177113;300607000.00
0.148178;0.0178882;300771000.00
0.149178;0.0180654;300937000.00
0.150178;0.0182428;301103000.00
0.151178;0.0184203;301267000.00
0.152178;0.0185979;301433000.00
0.153178;0.0187759;301600000.00
0.154178;0.0189541;301766000.00
0.155178;0.0191324;301932000.00
0.156178;0.0193109;302098000.00
0.157178;0.0194897;302266000.00
0.158178;0.0196686;302433000.00
0.159178;0.0198477;302599000.00
0.160178;0.0200271;302760000.00
0.161178;0.0202074;302881000.00
0.162178;0.0203881;302995000.00
0.163178;0.020569;303108000.00
0.164178;0.02075;303219000.00
0.165178;0.0209311;303330000.00
0.166178;0.0211122;303441000.00
0.167178;0.0212934;303553000.00
0.168178;0.0214746;303663000.00
0.169178;0.0216559;303773000.00
0.170178;0.0218371;303884000.00
0.171178;0.0220183;303994000.00
0.172178;0.0221996;304104000.00
0.173178;0.0223808;304214000.00
0.174178;0.022562;304325000.00
0.175178;0.0227432;304435000.00
0.176178;0.0229243;304545000.00
0.177178;0.0231054;304654000.00
0.178178;0.0232865;304765000.00
0.179178;0.0234676;304875000.00
0.180178;0.0236487;304984000.00
0.181178;0.0238297;305094000.00
0.182178;0.0240107;305204000.00
0.183178;0.0241917;305314000.00
0.184178;0.0243726;305424000.00
0.185178;0.0245536;305533000.00
0.186178;0.0247345;305643000.00
0.187178;0.0249153;305753000.00
0.188178;0.0250961;305862000.00
0.189178;0.0252768;305971000.00
